PROFESSOR(A),PREFERÊNCIA
P1,QUA - SEX
P2,SEG - QUA
P3,SEG - QUA
P4,SEG - QUA
P5,TER - QUI
P6,TER - QUI
P7,SEG - QUA
P8,TER - QUI
P9,TER - QUI
P10,TER - QUI
P11,QUA - SEX
P12,SEG - QUA
P13,SEG - QUI
P14,SEG - QUA
P15,SEG - QUA
P16,SEG - QUI
P17,QUA - SEX
P18,QUA - SEX
P19,SEG - QUI
P20,SEG - QUA
P21,SEG - QUA
P22,SEG - QUA
P23,TER - QUI
P24,SEG - QUA
P25,TER - QUI
P26,SEG - QUA
P27,QUA - SEX
P28,TER - QUI
P29,QUA - SEX
P30,SEG - QUA
P31,QUA - SEX
P32,SEG - QUI
P33,QUA - SEX
P34,TER - SEX
P35,SEG - QUI
P36,QUA - SEX
P37,SEG - QUA
P38,QUA - SEX
P39,SEG - QUA
P40,TER - QUI
P41,QUA - SEX
P42,SEG - QUA
P43,SEG - QUI
P44,QUA - SEX
P45,SEG - QUI
P46,SEG - QUA
P47,TER - QUI
P48,TER - QUI
P49,SEG - QUA
P50,TER - QUI
P51,QUA - SEX
P52,SEG - QUI
P53,QUA - SEX
P54,TER - QUI
P55,SEG - QUA
P56,TER - QUI
P57,SEG - QUA
P58,SEG - QUA
P59,SEG - QUA
P60,QUA - SEX
P61,SEG - QUA
P62,QUA - SEX
P63,SEG - QUA
P64,QUA - SEX
P65,SEG - QUA
P66,SEG - QUA
P67,SEG - QUA
P68,SEG - QUA
P69,QUA - SEX
P70,TER - QUI
P71,SEG - QUA
P72,QUA - SEX
